,Comment,AuthorName,AuthorChannelId,PublishedDate,LikeCount
63,"Apko real me aisa kissing device ya boy frnd... Mujhe to aise faltu ka cheez nehi chahiye, Chinese log mainly Psychi hai..",Tango Charlie,UCpR8zGZlebFyKdUx8b8MJAA,2023-04-15,0
64,Ok,Gokul Singh,UCKVLn3IGA6fLLIVnC4baMDQ,2023-04-15,0
65,Kissi nhi chahiye subscriber chahiye<br>Mele Babu ko 🤪🤪,nature lovers,UCvuNVOdpO6ywpXvvfJzn6hA,2023-04-15,0
66,Aap kiss karo ge mere s,Mantri je,UC4P3esRfFvIqTOkhMr8TGjg,2023-04-15,0
67,Women ☕️,Umar arshad,UCKk1pyHUm0v1GP5ZImLiVlQ,2023-04-15,0
68,Mujhe v aspse kissi  💋💋💋,Vikas Kr. paswan,UCBzMi7E9JrIw0QWjrxwRMLA,2023-04-15,0
69,Ye ladki bohot bolti hai room me Aaye gi taps tap dege lasi Gira denge,Suraj Kumar,UC6tlp5wFW_gj-uCTf6j_n1w,2023-04-15,1
70,Don&#39;t comments like this ...,doll,UCPVE2Od_RT6KLalzAQnmjoA,2023-04-19,0
71,Ase baty kr kr ka tumari shakal pr lanat par gye ha,BLΛCΚ MΛMBΛ BLΛCΚ MΛMBΛ,UCg8vSoP5R9mUmvlDRHGSnFg,2023-04-14,0
72,Main teri Katt lunga kissi😅,Bablu Pal,UC7_NHH2UecUqPTA-gCi7DHQ,2023-04-14,0
73,where you from ma&#39;am ¿,Sourabh Chetia,UC0Oo2y-0dXRtrR0yFPZwQeg,2023-04-14,0
74,App ko subscribe nhi Koch or chiya😂,Ansari wrestling,UCg0m4EPS03XUzUl6n0o6J1Q,2023-04-14,0
75,Mai pehle se hi ready hu but isko kabhi nahi karunga meri gf ko direct hi karlunga😂😂😂,GAURAV KALARWAL,UCOxRL4ugdnOuX7-Fh-gIc0w,2023-04-14,0
76,Himmat to Dekho assam ka nam Le Raha hai 🤬<br>Assam ek pavitra jaga hai <br>I am the soch samajh Kar baat Kahe 🥺,AR RAHUL,UCkf4T9iMlNTiA7-uNygkNlw,2023-04-14,0
77,😂😂😂 ab chal,MAKHNI,UCIcFCpCfPPbeY2ITR8HnAkQ,2023-04-14,0
78,Wait for s3x Device,JD Varsani,UCzPZDwKgxYNVm4cQUygRF-Q,2023-04-14,0
79,"Ghapaghap wala wifi wala invention बारे उन लोगों ने क्यूं नही सोचा, बस एक रोबोट बना दो, वह रोबोट हमारी moves को रिकॉर्ड करके सेम काम करेगा दूसरे के साथ, simple idea",Gohil Paramjeetsinh,UC9fJwFHxo0wwwh9acq8Kx8w,2023-04-14,0
80,I love you,Ananga Bikram Singh Bariha,UClqUCuRSUIBASi3wBWFu36g,2023-04-14,0
81,😊😅😅,block adil mmt,UCbR9VwsL77vH6ijJoRKmbqg,2023-04-14,0
82,Hamen bhi pata condom kaise utarti hi hai Aisa Bata dun Prema Rai ke Condom Laga,Badshah Gfx,UC_hY2cNcayCoGsjhPxRKezg,2023-04-14,0
83,Condom wali video tune banai thi na,Badshah Gfx,UC_hY2cNcayCoGsjhPxRKezg,2023-04-14,0
84,Tujhe sex jyada chinta hai kya aaja mera,Sagar detailing Mafia,UCEPofCRRvOzIsnIljOfVZ9Q,2023-04-14,0
85,इतने में तो हमें असली लड़की मिल जाएगी LOL,deependra vikram,UCjv7ju_1Qpuc22nfbsPoIOA,2023-04-14,0
86,Pehle aap lao ...bas iske bad ...readddyyy🤣🤣🤣,jitendra kumar,UCn_SiBh4zJCW3CQwOOpsygQ,2023-04-13,0
87,attttttttttt meri sweet,Santa singh Santa,UCswx4uYU_hV-ZarxeU73Eow,2023-04-13,0
88,Apko kiss 💋💋💋💋 kr sakte h kya,Manoj Prasad,UClvkT72KceU9Fh-JfjRe81A,2023-04-13,0
89,We can also try,ABHISHEK VERMA,UCnYYoGveV838NNMiCy1PvFw,2023-04-13,0
90,Can it help blow😂,Vikram Jain,UCZSuBafiHgiv8mgNCCwN_gA,2023-04-13,0
91,Nice voice 😊,Gameplay,UCXXuezLKjJMbFjZScRnlKnQ,2023-04-13,0
92,😂,Gameplay,UCXXuezLKjJMbFjZScRnlKnQ,2023-04-13,0
93,Mujhe aap ko kiss karna hai,Fish knowledge,UCdsWNkU4LBbO6HYhcMAB4MA,2023-04-12,0
94,Aap ko kiss chahiye kya,Fish knowledge,UCdsWNkU4LBbO6HYhcMAB4MA,2023-04-12,0
95,Aisa Cheez Hamara Assam Me Mat Ana 😂,Hasibul Islam,UCWCAShSSKHg4kkoEF68HOeQ,2023-04-12,1
96,Ap ko bhe kr skta hu mai kiss,Naranjan Kumar,UC8UYL8OOgZdf5npHjIP57Zw,2023-04-12,0
97,Chinese maal hai😒😒😂😂😂😂,Prithvi,UClxn1LHawR0VKtxTJU6kvHw,2023-04-11,0
98,Very cute 😍,Haseeb Imran,UCDLb7CTS16NrWOCjvNgHcZg,2023-04-11,0
99,Madam aap bahut cute ho,Babu Shaikh,UCdW8RO9BCWWWP6HYEKnhzlQ,2023-04-11,0
100,I love you,Call of Duty Mobile,UCy2YI8lDI80Nl9vO0pHn5ng,2023-04-10,0
101,mujhe toh apko karna hai,Power Facts Knowledge,UCrIzjMuVhnk1S80Qp6yGVMQ,2023-04-10,0
102,Koi subscribe mat krns begairat orat ko ... Ghar ss nikalne ka nateeja h,sameer khan (sam),UC6qN9nr-0G1VphSs-yAb64g,2023-04-09,0
103,"<a href=""https://youtu.be/WcY48SMVs3w"">https://youtu.be/WcY48SMVs3w</a> full video link",Mirch Masala,UCvRSif-6nKu4e7z7blBT8GQ,2023-04-09,0
104,Tum bohot sexy❤,Zia,UCiwY3QqLtHfxz3u2wFcMPzQ,2023-04-09,0
105,Apko kissi karne k liye kya karna padega janam❤,Nitendra Kumar,UCbtRCM8saZS-zkH7gxbHbqw,2023-04-09,0
106,Bolu kya hasi nhi ruk rhi😂😂,Abhay Prajapati,UCK4vRQRbzaohxfRaM_XEHng,2023-04-09,0
107,Iam from assm😋😜😹😹😹😹,hayen mushahary,UCc5Ll97AS6PxAIZHtcxkEnQ,2023-04-08,0
108,"Online sex aap na bna de ye saab online  ,🤣🤣🤣",sb_editz,UCAPsfFQ_mpvm6bXyv1OFfmQ,2023-04-08,0
109,Kardunga kitini bar mang rahi ho,Srock Devil,UCAjJ2jtRGAxyzgP9vnrUryQ,2023-04-07,0
110,1 land 1 chut 😂😂😂,KD youtuber,UCHjs1i2x92qf11An2n53xWA,2023-04-07,1
111,Ap moje kiss 💋 karoge,GOD REHAN,UCWW--0YrBKFe1gt_LgRmesw,2023-04-07,0
112,"Even I know what do you want, definitely not a subscribe.",artemisticnaveen,UCC4lJge4fJEccHcVBm57EpQ,2023-04-06,0
113,Aur jiska Partner he nahi rehegi tho 😅 .,Samad,UCZlVP23rdhLj0NW6QqZh5og,2023-04-06,0
114,Mai to itna single hu k ab mujhe lagata h k japani order krni padegi 😢😢 ye dukh kahe Khatam nhi hota be 😢😢,JD,UCHhrG3tqFDS31ugXSATGldA,2023-04-06,0
115,😂😂😂,Ujjwal Tamang,UC-g8QGUgw_X9DRp1Hvb2E8Q,2023-04-06,0
116,Kuch saal bad dur se hi dalne Wale machine aayegaa 😅,L4Lucifer,UCDkp0RdPTuq-zFqjila40GA,2023-04-05,0
117,or muje ap chiye ho 😍,stYLoo nova,UCAvDwTxsO4LdUu8PHOHUHuQ,2023-04-05,0
118,Ye to bacche bhi mobile se hi peda kara sakte hai😂😂😂😂,Ayaan S.k,UCjYgee4Tx38zk163Vvk-WSA,2023-04-05,0
119,😂😂😂😂,Ravi Pardhan,UCXmfQhYFF9AWcNvrmf9Fu5g,2023-04-05,0
120,Muje to chuu chiye,sahu gaurang,UCNmGT28sxh1uwvyLUJto13g,2023-04-04,0
121,Kya is divice ke andar apna saman dalkar direct apne partner ko chusaya ja sakta hai 😂,Soumya Ranjan Biswal,UCspINHitYx7IXvOYG0bPN8A,2023-04-04,0
122,Mera. Laoraa. 😂😂😂,Raja Danuwar,UCBZ-xqSVK-vaYdo7UvtJ_GQ,2023-04-03,0
123,Muje kiss chaiye subscribe nhi karunga 🤣,ELIXIR,UCEqeGBaXVUl5NSCkTtbdQ6A,2023-04-03,0
124,Tumre sath ho ju,Raman 5k,UCPgGqcUPmrItBqopheoquJw,2023-04-03,0
125,Le bhai invention bhi china me hua hai matlab samchh rhe ho na vinod 😀😀😀🙏,MEDHA UNIVERSE 🌍,UCgLdMfC6JgcWTfckExabcDw,2023-04-03,0
126,Subscribe theek hai par tujhe Kiss aur sex nahin chahie😅😅😅,I'm bad boy,UCQ441IZirKe1jZr1IVaepRw,2023-04-02,0
127,You are so cute<br>🥰,MANOHAR LAL,UC_Kzr8vPnotwQi3JGyPd2tA,2023-04-02,0
128,Aapko long l**d chayie,թαɾѵҽz kհαղ,UC9_uE1SNvMRAKLELygYxqvw,2023-04-02,0
129,Hum toh earphone par hi dabba k kiss karr lete hain ussi se hi poora system 🍆khada ho jata hai☺️😁,Mani,UCa3oIM1LRCYEOPGLtpL-3eg,2023-04-02,0
130,Iski video dekhne wale knowledge k liye nhi ise dekh k hilane k liye video dekhte h😂😂😂😂😂😂😂,Mechanical Gaming,UCzgaEYEscNnuRkwtnFwzxbQ,2023-04-02,0
131,tujhe lauda chahiye aur kuch nahi,Gaurav Pandey,UCbxZ1Lne_zhDq2Wv-f7JM_A,2023-04-02,0
132,Device toh le legay patner kon dega ??😢,Đarkmatteř,UCfmF3BoBQAwph7bp8Z4SMtw,2023-04-01,0
133,Tu L chahti hai bs,ZalimYT,UCXLcjwqW-gsoOYOu7NouZBw,2023-04-01,0
134,Nai caroga ba,Rohit Sharma,UCORZPE_M-PElLvWMI-VlEIw,2023-04-01,0
135,BJ k liye v use ho jayegi🤣,Mr. Stark,UCKcKrmS2M7UDA_z-5gYmS9A,2023-04-01,0
136,😂😂😂 You’re too talented 👍🏻,Rongpi Mindar,UCXZilV-xaHbxiC5Ut71A59A,2023-04-01,2
137,Pata kese chalega ki mujhe mera partner hi kiss kar rha h.,sahil Kumar,UCyU3tdEBvGNKF93WDHXVA_Q,2023-04-01,0
138,🤭🤭🤭🤭🤭,Sharukh Sha,UCflDX_qQe4JwsCIwBG-kwkQ,2023-04-01,0
139,Ha nakli device kisko chayye me bhi janta hu muje kya chayye tumari kiss,Sharukh Sha,UCflDX_qQe4JwsCIwBG-kwkQ,2023-04-01,0
140,Iska naam kissinger tha madm 2015 mai i the device,U MM,UCh1tDHv4BgKkWeUFLA1EwWQ,2023-04-01,0
141,😍😂😂,Roshan Kumar,UCCIwgHny8RU_zwOozx92qcw,2023-04-01,0
142,Aapko bhi,Army's lover,UCUm9jpZebMyAJ4DcBO6SNng,2023-04-01,0
143,mai to kuxh aur he samjh rhe tha 😁😁😁,Noddy Khan,UCVSlobzZc_Co2ZICv26gAYg,2023-04-01,0
144,Tughe suscribe nhi hatiyaar chahiye,Time Pass,UC8oanHEYoCTwfW50qJYbDAA,2023-04-01,0
145,Looking  like kriti sanon,AMIT BHASKAR,UCU7wOPPxvnGU2Y8Eu9uy5Bg,2023-03-31,0
146,Tu samja,RVD,UCLS98uPt0-yKgvCxMc7yGAw,2023-03-31,0
147,Can u give me a 💋 kiss?,Something Motivate With BrAnD,UCni_W_fK0QY_d2d3cK6cSjg,2023-03-31,0
148,Etna speed to plane v nhi udati jitna apka updes h...,Prince Raj,UCTJJMp4hhYPZh-nLFne0xGg,2023-03-31,0
149,lund logii,Harsh Singh,UCmOGFHUfd_rHUFelQUfiteQ,2023-03-31,0
150,Mam kiss nahi hai. Yeh to didi hai😅,Sarfaraz Merchant,UCRoEqyJME4BXx6boqbdN83g,2023-03-31,0
151,Apka number do na mere pass toh paise hai lakin partner nahi hai app mera partner ban jao😂😂😂,HINDUSTANI NO 1,UC-KbWfTxYkl7WQztNNXwutg,2023-03-31,0
152,Tum ek kitna baar use karti hoo.,Math Doctor,UCk6qEkzUdglvcsjC60bWYYw,2023-03-31,0
153,Tujhe abhi pta chala kya🤣,L_E_X_X,UCw6O13TqALJcrs8ZhIs0F5w,2023-03-31,0
154,Kissing device to ban gaya<br>Ab fu**ing device chahiye app link do na 😂😂😂,Guitar Knowledge,UCYZy80RGvJv6r1hom8oanlg,2023-03-31,0
155,apko be kiya chiye lagend samaj gy 🤣🤣🤣🤣🤣🤣🤣🤣,Lovepreet singh Randhawa,UCoSHwjIB8rr3OzBh3h5GVwQ,2023-03-31,0
156,Tumhe land chahiye 😂,shailendra gangwar,UCi5_FUrnc4p804sQMafs5RQ,2023-03-31,0
157,Or mujhe pata hai mujhe kya chahiye aapko kiss karna hai..,Aj action Singh,UCbQuhW_EUVsNRB1Iq9OnkQg,2023-03-31,0
158,Facevof dog you,V4 increase,UCbPN7DWMbKx3iwr5MSS49EQ,2023-03-30,0
159,feeti,narottam puri,UCAOFMd3aTYrDfJ3A5VcCxWw,2023-03-30,0
160,Tumko or kuch nahe aata he kya sex only,Rajesh Rai,UCyk0XfDH4W_q0Jx0bQbh8HA,2023-03-30,0
161,chl bosdi ki kl jab tere andar dala to tum kiu chik rhi thi aur abb dusro ko gyan de rhi ho abb ni tume bulauga lene k liye tumhari😟,BIG BULL,UCH13MIlaq8dsV7M-GjaIHfw,2023-03-30,0
162,Bj bhi hoga kya 😊,亗『 It's ür bøy Tãpån 』亗,UCKrggy4SBmOrM0wbH6NOSUg,2023-03-30,0
163,L chahiye,Ajay kumar Jaiswal,UCzcjxnHIB7C7criqNcw55GA,2023-03-30,0
164,Aise bakbas chiz free mein mile to bhi mein use na karu,abhijeet banik,UCqvYFlShOa4rP8R_Bmcs3vQ,2023-03-30,0
165,Assam walo like karo🌚,Mridul ,UCpgihOXevcI7bGLt6UtOD9w,2023-03-30,0
166,Maine to khareed liya bus aapka number de do aapke sath hi vish kar lenge dur se,ALL BANGLA RAHUL,UCOm_LhiVpfFndCrr1w7o_Ww,2023-03-30,0
167,"You don&#39;t need subscribers, you just need my kiss😏😂",Abhishek Garg,UC__GKQw4sfSYmbjt-Q_FhxA,2023-03-30,0
168,kya lipkiss se bhi virus transmit hote he? <br>jese ke aap ke oralsex video me bataya oralsex ya slaiva se bhi virus tranmit hota he..,N.g chanal,UCMsOnTm8QZk1nU54AOYgdcA,2023-03-30,0
169,Aur dildo,Ishal Azam Azam,UCWGqz1kQRdWNVxZSscXlPoQ,2023-03-29,0
170,Bhai 3000 me toh real me kiss mil jata hai 😂😂,Dark world,UCi1Hl3AqCh6HKHTIiDIltIw,2023-03-29,0
171,Kuch bhi....... 3000 mai kiss se zyada mil jata hai.....,pranav sagvekar,UCN1X79QSlE8cx9CKtwBZvyQ,2023-03-30,0
172,Kheyali pulav 😅😂😂😂😂😂,multi videos,UCSHI2edZpx2zOnMtTReywyg,2023-03-29,0
173,😁😁😁,Devraj Sunuwar,UCk4e4DdcJxQtGitqDlvhJEQ,2023-03-29,0
174,"Ye poora din chudampatti ke hii baare me sochti rhti hain, opportunity me bhi isko hawas dikh jaata hoga",SHIV KUMAR,UCbwX-m0gb4yk83PgAX-lJsg,2023-03-29,0
175,3000 me to ....sab kuch kar lenge,kp#897,UC6YFZd_WzLrlM2Sa99Cz8jQ,2023-03-29,0
176,B$c,Gold 11,UCk5U8kQzwSIeeKEQw5m-Q0g,2023-03-29,0
177,Kya Oral bhi kr sakte hai ?😂😂,Studiezzzzzzzz,UCFUZujqH-Wc-5flUwpIUOPA,2023-03-29,0
178,ME TO KOUCH AUR HI SAMJHA RHA 😅😊😊😊😊❤,MOVIES CLUB,UC6hdWd26ecgnzS-J5oVhVlw,2023-03-29,1
179,Mujhe laga aapko kuch aur chiz chahiye 🌚💀,Rudra Bhardwaj,UCbANiVV8GlwCfoftYowAyXQ,2023-03-29,0
180,Aur + 3000rs = Russian 😍😂,Mr. PRANAY,UCHuEaQZBff57YtFKYRrEh9A,2023-03-29,0
181,Tumko chahiye ek bsdha sa kala lamba jo mun me le sako taki mun sidha ho jae😂😂😂😂😂😂😂😂😂😂,youtube king,UCBt8grk60zlBJqS2Yb4KUOA,2023-03-29,0
182,Seems like china living in 2040 already.,Mr Hacker,UCcSWpZ-DRcjFdnQ52O1Pk-A,2023-03-29,0
183,iska s.x shiksha se kya connection he,TechBird,UCabgx9JihoCZojla7Dolfhg,2023-03-29,0
184,Subscribe nhi chahiye tumhhe lund chahiye 😅😅,MR NAYAN 444,UCINri7tsFAohqPXNtrrKD6w,2023-03-29,0
185,I think tumhe bi ek kiss chahiye 😂🤣,T Muduli,UC9_ioeL6WpirSfQXFPmaFxQ,2023-03-29,0
186,Just for kiss? 😏,Veer Arjitwar,UC546WDI_NkZVWJmusa6f4-g,2023-03-29,0
187,Ladki ne Muh me Thook diya toh ??😂😂😂,rudra,UC1nTLD2KYMCkpYh9jqr55mg,2023-03-28,0
188,Legend use Hathoda <br><br>Muh khol jalfi😅😅😅,Mr Siraj,UCpju5inLr8nru9r4g_6V_xg,2023-03-28,0
189,Tarak pan ultimate,pk,UC_ZMpdJE1xiSrwKRDYWwfVA,2023-03-28,0
190,B*<b>***</b> d ye muje chaiye yr🔥🔥🔥,Moirangmayum Bikash,UCNztgCYtsXTP1aB5FttryTA,2023-03-28,0
191,Internet our life.tu bhi toh internet key waja say paisa chap raha hai..,real force 🙏,UC2YA6qZNteqfbZMNAUBZbYg,2023-03-28,0
192,Aaap kaha se ho wese haa ?,Mirza Soheb,UCbe7qjovC4pG5LPkRgyLOvg,2023-03-28,0
193,Iss technology ko aurr badhna chahiye..thode aurr features hote toh maza aa jata🌚,Sandeep,UC_0JFbjk1MSLCPMK0Ib3D8g,2023-03-28,1
194,Ik aapko bhi Lena chahiye 😅😅,Vijay Kumar,UC-T290iMjJC6erQf8-ADFcg,2023-03-28,0
195,Tujhe ready made land ki jarurat hai 😂😂😂😂<br><br>Kya content lati ho tum 😢😢,Fearless G.G,UCpNmowicsTeyRrvEFM33OLw,2023-03-28,0
196,Abba nhi manenge🤣🤣🤣😂😂,MUKESH RAWAT,UCpRVp58wxNNFr3-aCZsW5hw,2023-03-28,0
197,That device I am not using two kissing I am using 💀💀💀💀 you know......,STUDY SKANDPRO,UCx_R-co7Wg9AHbNXUA0-u5g,2023-03-28,0
198,Dhurrr chapri,Jetuki,UCZI14sj1CS9R8xX8ysGucsA,2023-03-28,0
199,Kisi,Chittaranjan Mallik,UCQoRQgR6zf39uc7yFdqlr3A,2023-03-28,0
200,To dega kiya,Chittaranjan Mallik,UCQoRQgR6zf39uc7yFdqlr3A,2023-03-28,0
201,मैडम तुम्हें कोई और टॉपिक ना मिला क्या शैक्षिक सा के अलावा,Mukund Mishra,UCD_goFE2pdKU6zYVTFJrmGA,2023-03-27,0
202,"&quot;Pehle estmal kree, Fir viswas kree&quot;😂😂",Harsh Kaushik,UCDp55Bb7B_DMD5u6SA_5P1A,2023-03-27,25
203,Shor machega song,Ovais Style,UC8jVSlmb2YW7p0V2tmeUCYw,2023-04-11,0
204,"belowjaob,,,,🤣🤣🤣😂😂😂😂",IIT-BOMBAY,UCJEDrZ44d9RyEd36HRLRflA,2023-03-27,1
