,Comment,AuthorName,AuthorChannelId,PublishedDate,LikeCount,toxic,severe_toxic,obscene,threat,insult,identity_hate
43,Iski video dekhne wale knowledge k liye nhi ise dekh k hilane k liye video dekhte h😂😂😂😂😂😂😂,Mechanical Gaming,UCzgaEYEscNnuRkwtnFwzxbQ,4/2/2023,0,0,1,1,0,1,1
44,tujhe lauda chahiye aur kuch nahi,Gaurav Pandey,UCbxZ1Lne_zhDq2Wv-f7JM_A,4/2/2023,0,0,1,1,0,1,0
45,Device toh le legay patner kon dega ??😢,Đarkmatteř,UCfmF3BoBQAwph7bp8Z4SMtw,4/1/2023,0,0,0,0,0,0,0
46,Tu L chahti hai bs,ZalimYT,UCXLcjwqW-gsoOYOu7NouZBw,4/1/2023,0,1,1,0,0,0,1
47,Nai caroga ba,Rohit Sharma,UCORZPE_M-PElLvWMI-VlEIw,4/1/2023,0,0,0,0,0,0,0
48,BJ k liye v use ho jayegi🤣,Mr. Stark,UCKcKrmS2M7UDA_z-5gYmS9A,4/1/2023,0,1,1,0,0,0,0
49,😂😂😂 You’re too talented 👍🏻,Rongpi Mindar,UCXZilV-xaHbxiC5Ut71A59A,4/1/2023,2,0,0,0,0,0,0
50,Pata kese chalega ki mujhe mera partner hi kiss kar rha h.,sahil Kumar,UCyU3tdEBvGNKF93WDHXVA_Q,4/1/2023,0,1,0,0,0,0,0
51,🤭🤭🤭🤭🤭,Sharukh Sha,UCflDX_qQe4JwsCIwBG-kwkQ,4/1/2023,0,0,0,0,0,0,0
52,Ha nakli device kisko chayye me bhi janta hu muje kya chayye tumari kiss,Sharukh Sha,UCflDX_qQe4JwsCIwBG-kwkQ,4/1/2023,0,1,0,1,0,0,0
53,Iska naam kissinger tha madm 2015 mai i the device,U MM,UCh1tDHv4BgKkWeUFLA1EwWQ,4/1/2023,0,0,0,0,0,0,0
54,😍😂😂,Roshan Kumar,UCCIwgHny8RU_zwOozx92qcw,4/1/2023,0,0,0,0,0,0,0
55,Aapko bhi,Army's lover,UCUm9jpZebMyAJ4DcBO6SNng,4/1/2023,0,0,0,0,0,0,0
56,mai to kuxh aur he samjh rhe tha 😁😁😁,Noddy Khan,UCVSlobzZc_Co2ZICv26gAYg,4/1/2023,0,0,0,0,0,0,0
57,Tughe suscribe nhi hatiyaar chahiye,Time Pass,UC8oanHEYoCTwfW50qJYbDAA,4/1/2023,0,1,1,0,0,1,0
58,Looking  like kriti sanon,AMIT BHASKAR,UCU7wOPPxvnGU2Y8Eu9uy5Bg,3/31/2023,0,0,0,0,0,0,0
59,Tu samja,RVD,UCLS98uPt0-yKgvCxMc7yGAw,3/31/2023,0,0,0,0,0,0,0
60,Can u give me a 💋 kiss?,Something Motivate With BrAnD,UCni_W_fK0QY_d2d3cK6cSjg,3/31/2023,0,0,0,1,0,0,0
61,Etna speed to plane v nhi udati jitna apka updes h...,Prince Raj,UCTJJMp4hhYPZh-nLFne0xGg,3/31/2023,0,0,0,0,0,0,0
62,lund logii,Harsh Singh,UCmOGFHUfd_rHUFelQUfiteQ,3/31/2023,0,1,1,1,0,1,0
63,Mam kiss nahi hai. Yeh to didi hai😅,Sarfaraz Merchant,UCRoEqyJME4BXx6boqbdN83g,3/31/2023,0,0,1,0,0,1,0
64,Apka number do na mere pass toh paise hai lakin partner nahi hai app mera partner ban jao😂😂😂,HINDUSTANI NO 1,UC-KbWfTxYkl7WQztNNXwutg,3/31/2023,0,1,0,1,0,0,0
65,Tum ek kitna baar use karti hoo.,Math Doctor,UCk6qEkzUdglvcsjC60bWYYw,3/31/2023,0,0,1,1,0,1,0
66,Tujhe abhi pta chala kya🤣,L_E_X_X,UCw6O13TqALJcrs8ZhIs0F5w,3/31/2023,0,0,0,0,0,0,0
67,Kissing device to ban gaya<br>Ab fu**ing device chahiye app link do na 😂😂😂,Guitar Knowledge,UCYZy80RGvJv6r1hom8oanlg,3/31/2023,0,1,1,1,0,1,0
68,apko be kiya chiye lagend samaj gy 🤣🤣🤣🤣🤣🤣🤣🤣,Lovepreet singh Randhawa,UCoSHwjIB8rr3OzBh3h5GVwQ,3/31/2023,0,0,0,0,0,0,0
69,Tumhe land chahiye 😂,shailendra gangwar,UCi5_FUrnc4p804sQMafs5RQ,3/31/2023,0,1,1,1,0,1,0
70,Or mujhe pata hai mujhe kya chahiye aapko kiss karna hai..,Aj action Singh,UCbQuhW_EUVsNRB1Iq9OnkQg,3/31/2023,0,1,0,1,0,0,0
71,Facevof dog you,V4 increase,UCbPN7DWMbKx3iwr5MSS49EQ,3/30/2023,0,0,1,1,1,0,1
72,feeti,narottam puri,UCAOFMd3aTYrDfJ3A5VcCxWw,3/30/2023,0,0,0,0,0,0,0
73,Tumko or kuch nahe aata he kya sex only,Rajesh Rai,UCyk0XfDH4W_q0Jx0bQbh8HA,3/30/2023,0,0,1,1,0,1,1
74,chl bosdi ki kl jab tere andar dala to tum kiu chik rhi thi aur abb dusro ko gyan de rhi ho abb ni tume bulauga lene k liye tumhari😟,BIG BULL,UCH13MIlaq8dsV7M-GjaIHfw,3/30/2023,0,1,1,1,1,1,0
75,Bj bhi hoga kya 😊,亗『 It's ür bøy Tãpån 』亗,UCKrggy4SBmOrM0wbH6NOSUg,3/30/2023,0,1,0,1,0,0,0
76,L chahiye,Ajay kumar Jaiswal,UCzcjxnHIB7C7criqNcw55GA,3/30/2023,0,1,1,0,0,1,0
77,Aise bakbas chiz free mein mile to bhi mein use na karu,abhijeet banik,UCqvYFlShOa4rP8R_Bmcs3vQ,3/30/2023,0,0,0,0,0,0,0
78,Assam walo like karo🌚,ROYAL ROCK,UCpgihOXevcI7bGLt6UtOD9w,3/30/2023,0,0,0,0,0,0,0
79,Maine to khareed liya bus aapka number de do aapke sath hi vish kar lenge dur se,ALL BANGLA RAHUL,UCOm_LhiVpfFndCrr1w7o_Ww,3/30/2023,0,1,0,1,0,0,0
80,"You don&#39;t need subscribers, you just need my kiss😏😂",Abhishek Garg,UC__GKQw4sfSYmbjt-Q_FhxA,3/30/2023,0,1,0,1,0,1,0
81,kya lipkiss se bhi virus transmit hote he? <br>jese ke aap ke oralsex video me bataya oralsex ya slaiva se bhi virus tranmit hota he..,N.g chanal,UCMsOnTm8QZk1nU54AOYgdcA,3/30/2023,0,0,0,0,0,0,0
82,Aur dildo,Ishal Azam Azam,UCWGqz1kQRdWNVxZSscXlPoQ,3/29/2023,0,1,1,0,0,0,0
83,Bhai 3000 me toh real me kiss mil jata hai 😂😂,999x999 gaming,UCi1Hl3AqCh6HKHTIiDIltIw,3/29/2023,0,1,1,1,0,1,1
84,Kuch bhi....... 3000 mai kiss se zyada mil jata hai.....,pranav sagvekar,UCN1X79QSlE8cx9CKtwBZvyQ,3/30/2023,0,1,1,1,0,0,0
85,Kheyali pulav 😅😂😂😂😂😂,multi videos,UCSHI2edZpx2zOnMtTReywyg,3/29/2023,0,0,0,0,0,0,0
86,😁😁😁,Devraj Sunuwar,UCk4e4DdcJxQtGitqDlvhJEQ,3/29/2023,0,0,0,0,0,0,0
87,"Ye poora din chudampatti ke hii baare me sochti rhti hain, opportunity me bhi isko hawas dikh jaata hoga",SHIV KUMAR,UCbwX-m0gb4yk83PgAX-lJsg,3/29/2023,0,1,1,1,0,1,1
88,3000 me to ....sab kuch kar lenge,kp#897,UC6YFZd_WzLrlM2Sa99Cz8jQ,3/29/2023,0,0,0,0,0,0,0
89,B$c,Gold 11,UCk5U8kQzwSIeeKEQw5m-Q0g,3/29/2023,0,1,1,1,0,0,0
90,Kya Oral bhi kr sakte hai ?😂😂,Studiezzzzzzzz,UCFUZujqH-Wc-5flUwpIUOPA,3/29/2023,0,0,0,0,0,0,0
91,ME TO KOUCH AUR HI SAMJHA RHA 😅😊😊😊😊❤,MOVIES CLUB,UC6hdWd26ecgnzS-J5oVhVlw,3/29/2023,1,0,0,0,0,0,0
92,Mujhe laga aapko kuch aur chiz chahiye 🌚💀,Rudra Bhardwaj,UCbANiVV8GlwCfoftYowAyXQ,3/29/2023,0,1,0,1,0,0,0
93,Aur + 3000rs = Russian 😍😂,Mr. PRANAY,UCHuEaQZBff57YtFKYRrEh9A,3/29/2023,0,0,0,0,0,0,0
94,Tumko chahiye ek bsdha sa kala lamba jo mun me le sako taki mun sidha ho jae😂😂😂😂😂😂😂😂😂😂,youtube king,UCBt8grk60zlBJqS2Yb4KUOA,3/29/2023,0,1,1,1,0,0,1
95,Seems like china living in 2040 already.,Mr Hacker,UCcSWpZ-DRcjFdnQ52O1Pk-A,3/29/2023,0,0,0,0,0,0,0
96,iska s.x shiksha se kya connection he,TechBird,UCabgx9JihoCZojla7Dolfhg,3/29/2023,0,1,0,0,1,0,0
97,Subscribe nhi chahiye tumhhe lund chahiye 😅😅,MR NAYAN 444,UCINri7tsFAohqPXNtrrKD6w,3/29/2023,0,1,1,1,0,1,1
98,I think tumhe bi ek kiss chahiye 😂🤣,T Muduli,UC9_ioeL6WpirSfQXFPmaFxQ,3/29/2023,0,0,0,1,0,0,0
99,Just for kiss? 😏,Veer Arjitwar,UC546WDI_NkZVWJmusa6f4-g,3/29/2023,0,0,0,1,0,0,0
100,Ladki ne Muh me Thook diya toh ??😂😂😂,rudra,UC1nTLD2KYMCkpYh9jqr55mg,3/28/2023,0,0,1,1,0,1,0
101,Legend use Hathoda <br><br>Muh khol jalfi😅😅😅,Mr Siraj,UCpju5inLr8nru9r4g_6V_xg,3/28/2023,0,1,0,1,1,1,0
102,Tarak pan ultimate,pk,UC_ZMpdJE1xiSrwKRDYWwfVA,3/28/2023,0,0,0,0,0,0,0
103,B*<b>***</b> d ye muje chaiye yr🔥🔥🔥,Moirangmayum Bikash,UCNztgCYtsXTP1aB5FttryTA,3/28/2023,0,0,1,0,0,0,0
104,Internet our life.tu bhi toh internet key waja say paisa chap raha hai..,real force 🙏,UC2YA6qZNteqfbZMNAUBZbYg,3/28/2023,0,0,0,0,0,0,0
105,Aaap kaha se ho wese haa ?,Mirza Soheb,UCbe7qjovC4pG5LPkRgyLOvg,3/28/2023,0,0,0,0,0,0,0
106,Iss technology ko aurr badhna chahiye..thode aurr features hote toh maza aa jata🌚,Sandeep,UC_0JFbjk1MSLCPMK0Ib3D8g,3/28/2023,1,0,0,0,0,0,0
107,Ik aapko bhi Lena chahiye 😅😅,Vijay Kumar,UC-T290iMjJC6erQf8-ADFcg,3/28/2023,0,0,0,0,0,0,0
108,Tujhe ready made land ki jarurat hai 😂😂😂😂<br><br>Kya content lati ho tum 😢😢,Fearless G.G,UCpNmowicsTeyRrvEFM33OLw,3/28/2023,0,1,1,1,0,1,0
109,Abba nhi manenge🤣🤣🤣😂😂,MUKESH RAWAT,UCpRVp58wxNNFr3-aCZsW5hw,3/28/2023,0,0,0,0,0,0,0
110,That device I am not using two kissing I am using 💀💀💀💀 you know......,STUDY SKANDPRO,UCx_R-co7Wg9AHbNXUA0-u5g,3/28/2023,0,1,0,1,0,0,0
111,Ye chayana vale he Aane vale samay me ye sax karne vale machine Bana dege mobaile se canect😂😂😂😂🎉❤❤,Vishal vs gamer kid's,UCtQIBaXjCmzMXbEI-gbXiDg,3/28/2023,0,1,1,1,0,0,0
112,Dhurrr chapri,Jetuki,UCZI14sj1CS9R8xX8ysGucsA,3/28/2023,0,1,0,0,1,1,1
113,Kisi,Chittaranjan Mallik,UCQoRQgR6zf39uc7yFdqlr3A,3/28/2023,0,0,0,1,0,0,0
114,To dega kiya,Chittaranjan Mallik,UCQoRQgR6zf39uc7yFdqlr3A,3/28/2023,0,1,0,0,0,0,0
115,मैडम तुम्हें कोई और टॉपिक ना मिला क्या शैक्षिक सा के अलावा,Mukund Mishra,UCD_goFE2pdKU6zYVTFJrmGA,3/27/2023,0,0,0,0,0,0,0
116,"&quot;Pehle estmal kree, Fir viswas kree&quot;😂😂",Harsh Kaushik,UCDp55Bb7B_DMD5u6SA_5P1A,3/27/2023,17,0,0,0,0,0,0
117,Shor machega song,Ovais Style,UC8jVSlmb2YW7p0V2tmeUCYw,4/11/2023,0,0,0,0,0,0,0
118,"belowjaob,,,,🤣🤣🤣😂😂😂😂",Tum mujhe jante ho dost,UCJEDrZ44d9RyEd36HRLRflA,3/27/2023,1,0,0,1,0,0,0
119,yhn 😂 bf munh k andr dal dy ga 😂,Neha Aoun,UCQ-RCMlATKOdswLKT0k3ojg,3/27/2023,0,0,1,1,0,0,0
120,Uss machine ka hooth khulta bhi hai kya??<br>Vo Janna hai,INDIANO GAMING,UCHKvN6a5onlSN5N8jAJLhwA,3/27/2023,1,0,0,0,0,0,0
121,You are beautiful,Bondhon Roy,UC_ejNF2wf_Ejgn_R3YkM5_Q,3/27/2023,0,0,0,0,0,0,0
122,Assam ka Nam kiyu liya?????????,Polash editing,UCKtX45jF4t9G4iSvRR9jB1g,3/27/2023,0,0,0,0,0,0,0
123,ey lo long distance relationship ka kiss liye device nikal gaya,꧁༒☬๖ۣۜǤнσsτ༻๖ۣۜℜideℝ ☬༒꧂,UCMXjw9xVBXndlF_6NYSr1yA,3/27/2023,0,1,0,0,0,0,0
124,Bhen kya ker rhi hai tu<br>Tum kya bahut jyada piti ho kya 😂😂😂😂😂😂,Karan Singh,UCdHlZPdiUODYoHyMwfKbSNA,3/27/2023,0,1,0,1,0,0,0
125,"3000 ka mai lu, 3000 ka use dilau wo bhi sirf kiss ke liye<br>Isse accha 6000 me Russian na le aau",प्रज्ज्वल श्रीवास्तव 'वासु',UChOKTEWShUKu0mAGIiBjfRw,3/27/2023,0,1,0,0,0,1,0
126,❤❤❤❤,Nitin Rathod,UCJbMCMDhC_7zFTBXcPotmXw,3/27/2023,1,0,0,0,0,0,0
127,Xxx,IMOTIONSofDAMGES,UCcEFdA4JYifg1C0u_9xfgpA,3/27/2023,0,0,1,0,0,0,0
128,Bata do yaar kaha milega,Indian Desi Car Lover,UCoI3YWurvywb4Z5MGf27E4A,3/27/2023,0,0,0,0,0,0,0
129,ED kya hota hai????,Anandroczzz44,UCT6MEZHrykDZOqwL5k5fnMg,3/27/2023,0,0,0,0,0,0,0
130,Mujhe lagta h aap logon ko aware km or apna business jyada failane m lagi ho,Mantu paswan,UCUlwPQirsbZkWWi2sl6nIMw,3/27/2023,0,0,0,0,0,0,0
131,ya product kaha pe milega yar koi batyaga plz,Anjan,UCNrhiPZa_kFBJsc3a-BKuzQ,3/26/2023,0,0,0,0,0,0,0
132,Aare Didi Aram se 😂,𝓛𝓾𝓬𝓲 . . . 🥀🖤,UCtw1fB7nntelgiMtF1LJwJA,3/26/2023,0,0,0,0,0,0,0
133,I don’t need this,Anurag Gope,UCwA5HMg5dox4-NALyZEV-8A,3/26/2023,0,0,0,0,0,0,0
134,3000 me to beautiful maal mil jayega,navin adhikari,UCWEEJ_oT8VGZjqP7-NOZwDQ,3/26/2023,0,1,1,1,0,1,0
135,I LOVE U ❤❤❤,KUNAL,UCNGfi3XFUhKL8ogQ6uJFY5w,3/26/2023,0,0,0,0,0,0,0
136,3000 me kiss bahut mahanga hai kuchh aur banata to sochata bhi,RAJAN CHAUHAN,UCUkYT7XS6QDxHfrNvV8PbQA,3/26/2023,1,1,0,1,0,0,0
137,madam silicon vagina ka invention kisne kiya,Munendar Saini 7,UCagEU1aWvfb6xx7UCcxDcKw,3/26/2023,0,1,1,0,0,0,0
138,Tum ko chahiye ek LOU*A 😎😎🔥🔥,FOG Style,UCJKNZlxj0py1N48jFnqe4rA,3/25/2023,0,1,1,1,1,1,0
139,pata nhi kyu per mujhe ye ladki sakal se e nasheri lagti hai,Facts_ki_duniya,UCK2pffTyF_2f8EhA9E3EAJw,3/25/2023,0,1,0,0,0,1,1
140,Its not just kisses its much more <br>Samaj rahe ho😂,aadil mushtaq,UCifnL6L0ZM5Vm1IcIUjLdJg,3/25/2023,0,1,0,0,0,0,0
141,Fake sex expert,Quickies,UCvI1UTlEUcYSzk11LXctYOQ,3/25/2023,0,1,0,0,0,1,1
142,Lekin server ki wajah se aatak phir 😅😅,mohit rajput,UC0rYSmoICm28cggB0Wi4mgw,3/25/2023,1,0,0,0,0,0,0
143,Nahi mam baki toh thik hai Chinese Jo mrji invent krte hai.. but AAP kyu advertising ke rahe ho,Swarnjit Singh,UCGzmlk6p5g5HCt2sccSuVhQ,3/25/2023,0,0,0,0,0,0,0
144,Single bande be like lena padega,FM STORIES,UCCn4ifelMddjFOSd5KauDdw,3/25/2023,0,0,0,0,0,0,0
145,Mujhe apko kissi karna hain didi 😅😊,Subhankar Mishra,UCQvr7s4uA_si8gkDHaDcE6Q,3/25/2023,0,1,0,1,0,0,0
146,Tujhe ....subscribe nhi ...tujhe pyaar chachiye ..wo mai dunga. ..<br>I love yyou 🤤🤤🤤🔥🔥🔥,Ashneer shark / X Tiktoker 💯,UCDJM3txSIszjhjawapES83A,3/25/2023,0,1,0,1,0,0,0
147,Save that guy at any cost,Deeraj Singh,UC7lfwHnjS_kmZCe4ojoKZoA,3/24/2023,0,0,0,0,0,0,0
148,"But,but,but .I want to 💋😘 kiss you,ooppps sorry not you on your sexy lips 👄👄😅😂😂😂❤.",Rahul Facts 2.0,UC_TW0amfE6H4VaDAnic_6Kw,3/24/2023,1,1,1,1,0,0,0
149,Fir imran hasmi kya karega 😂😂😂,Arkesh SHORTS,UCkC2eL-GzaRuAqcdR4_kSWg,3/24/2023,0,0,0,0,0,0,0
150,Tum ko ek dildo chaiye 😂😂,Jhon Khadka,UC_pINOH9ozFwW75aKi7zgsw,3/24/2023,0,0,1,0,0,1,0
151,Mujhe laga ki apko bhi ek kissing device chahiye,possible 1,UCqE1AZ9DXoqcsPEqsME-jeA,3/24/2023,0,1,1,0,0,0,0
152,Phir main Tumhe b kiss kr Sakta hu 😂😘,Zakir Lashkar,UCEqrTNAR-FQxJmL7VLX6zNw,3/24/2023,0,0,1,1,0,0,0
153,Mai bi janta ho apko kia chahye.  Fake land 🥒,Jin gaming,UCCUCLcprjEdf5GI192Cy6Nw,3/24/2023,0,0,0,0,0,0,0
154,Kya chaiye re tere ko,Deadshot team,UC_l-nIasIQsTJ5iyvXxElCg,3/24/2023,0,0,1,1,0,1,0
155,kisi ko bhi kiss kar sakte hai 🤔 to me ek baat soch Raha tha 😂,Neet warrior 🙂,UCYIgV6VqL4vBB44JUGxArxw,3/24/2023,0,1,0,1,0,0,0
156,Russia bhi?😂,Akshit Bisht,UC0TzxqJeLy_HvgIzGKCMJuQ,3/24/2023,0,0,0,0,0,0,0
157,Hey prabhu 🙏,ALPHA KS,UC3FZCb78ZL1fNyAKsUM25ow,3/24/2023,0,0,0,0,0,0,0
158,Paagal hai tu,Deep Deep Deep,UC9u-GUiBcui6ae7ywEHEaoQ,3/23/2023,0,0,1,0,0,1,0
159,❤❤,MAAP,UChmdkMU3Lfju8fHCQhGpONA,3/23/2023,0,0,0,0,0,0,0
160,kya chutiyapa hai,know about anything,UCrpujdCTe8_AWqlMXQuyRUw,3/23/2023,0,1,1,0,0,1,0
161,Muh band kar MKL,Fitness Freak,UCIOPgOv_OyujaW_XHqJYQeA,3/23/2023,1,1,0,0,1,1,0
162,Yr tmy dekh kr mujhe mare ex yaad ajti h❤😂,Shaani Shahan,UCUfObVtlq2bfAEJn93-CUFw,3/22/2023,0,0,0,1,0,0,0
163,Sanatani ldkiya,Shankar Kumar,UCPyn_h-q_evTk1n9EYLKatA,3/22/2023,0,0,0,0,0,0,0
164,Mam bj de sakte hai kya<br><br>Pls answer,Mr DARK,UChJkVWlrdo2OXPqNLISP4wA,3/22/2023,0,1,0,1,0,1,0
165,Thanks for mentioning assam...,dizita_artist,UCZXovgte1qUtlZ6aSjdZv6w,3/21/2023,0,0,0,0,0,0,0
166,Mere ko pata hai tumko kya chahie,respect 999+,UCbVQcT1KaV-EkUxzYtuXXNg,3/21/2023,0,1,0,0,0,0,0
167,Asssam included 😂😂 love from assam ❤,Hrithik,UCTe2zUF1GbyWdPdJwWUsz6Q,3/20/2023,1,0,0,0,0,0,0
168,😚,Muhammad Shahrukh,UCMYdY_iLnpFdrXVDgMF1dUg,3/20/2023,0,0,0,0,0,0,0
169,Apne Log Multi talented hai 1 chij se 10 kaam karte hai to isse bhi 10 kaam kiya jayega 💀💀💀,Râjvèér singh,UCif7w6vIg_AlQPx4AKbvjJw,3/20/2023,1,0,0,0,0,0,0
170,Ye ladki mu se hi tharki lagti hai💀💀,deadpool photography,UC0MZ3GppMWE7wwcBBy6jq5w,3/19/2023,0,0,1,1,0,1,0
171,3000 Dene se badhiya 6000 dedu,IQ MXPRO,UCTu8AagujCHLL38Kz5T6f1g,3/19/2023,0,0,0,0,0,0,0
